"treatment";"f.value";"max.mean";"assumptions"
"Family_Approval=Yes";160,688477600563;0,503097893432466;"Granted"
"Computer_Home=No";75,8804659975091;0,467213114754098;"Granted"
"Computer_Digital_Inclusion_Centre=Yes";61,279234266696;0,368663594470046;"Granted"
"Only_Teaches_Software=Yes";38,7013630862185;0,341549295774648;"Granted"
"Man_Majority=No";57,363270082565;0,336683417085427;"Granted"
"Educational_Stage=Middle School";69,9783425442972;0,310344827586207;"Granted"
"Use_Email=No";63,5024583040464;0,310185185185185;"Granted"
"Has_Low_Math=Yes";42,9996879129314;0,306796116504854;"Granted"
"Use_Social_Network=No";57,4504870643235;0,306513409961686;"Granted"
"Computer_Lan_House=Yes";91,7261797473375;0,301716350496838;"Granted"
"Use_Internet=No";58,5582393246006;0,296969696969697;"Granted"
"Use_Text_Editor=No";62,7269360307758;0,296610169491525;"Granted"
"Create_Softwares=Yes";65,1446428751523;0,276470588235294;"Granted"
"Year=2011";43,0039158363564;0,258264462809917;"Granted"
"Use_Database=Yes";57,3858784358753;0,242784380305603;"Granted"
"Field_Interest=Exact Sciences";36,7525910021768;0,23935389133627;"Granted"
"Create_Web_Pages=Yes";53,5981129173152;0,220779220779221;"Granted"
"Need_Higher_Education=Yes";50,1575901136423;0,21969265793967;"Granted"
"Computer_School=No";69,0703670140867;0,211560693641619;"Granted"
"Use_Other_Softwares=Yes";54,9752850250845;0,201986754966887;"Granted"
"Use_Image_Editor=No";53,365718332119;0,191075514874142;"Granted"
"Computer_Friends=No";53,4059614182058;0,185149469623915;"Granted"
"Computer_Library=No";54,7293885245518;0,158866995073892;"Granted"
"Play_Games=Yes";52,552429682407;0,156207054512139;"Granted"
"Low_Employability=Maybe";31,6768795051409;0,068901303538175;"Granted"
"Low_Leisure=Maybe";33,0388749848502;0,0530697190426639;"Granted"
"Need_Know_Computer=Maybe";33,4017883826895;0,031496062992126;"Granted"
"Use_Creativity=Maybe";28,5076466795215;-1;"Granted"
"Bring_Prestige=Maybe";42,650912492535;-1;"Granted"
"Good_Salary=Maybe";36,4267424249817;-1;"Granted"
"Interdisciplinarity=Maybe";37,0344575596568;-1;"Granted"
"Computer_Relatives=No";50,3653456720084;-1;"Granted"
"Computer_Work=No";50,5662276073494;-1;"Granted"
"Use_Spreadsheet=No";51,1279485530635;-1;"Granted"
"Family_Approval_x_Man_Majority";0,0238233962007341;-1;"Granted"
"Family_Approval_x_Bring_Prestige";0,024353636663056;-1;"Granted"
