Year,Gender,Educational.Stage,Field.Of.Interest,Would.Enroll.In.CS,Q1,Q2,CS.Only.Teaches.To.Use.Software,CS.Uses.Little.Math,Most.CS.Students.Are.Male,CS.Requires.Knowledge.In.Computers,Higher.Education.Required.To.Work.In.CS,Family.Approves.CS.Major,CS.Has.Low.Employability,CS.Work.Has.Long.Hours,CS.Fosters.Creativity,CS.Is.Prestigious,CS.Provides.Good.Wages,CS.Enables.Interdisciplinary.Experiences,Uses.Computer.At.Home,Uses.Computer.At.Relatives.House,Uses.Computer.At.Friends.House,Uses.Computer.At.School,Uses.Computer.At.Work,Uses.Computer.At.Lan.House,Uses.Computer.At.Library,Uses.Computer.At.Digital.Inclusion.Center,Has.Used.Text.Editor,Has.Used.Image.Editor,Has.Used.Spreadsheet,Has.Used.Database,Has.Used.Internet,Has.Used.Social.Network,Has.Used.Email,Has.Used.Games,Has.Used.For.Creating.Web.Pages,Has.Used.For.Development,Has.Used.Other.Softwares
2014,F,Middle School,Human Sciences,No,10100,100000,No,Yes,No,No,Yes,Yes,Maybe,Maybe,Maybe,Yes,Maybe,,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2014,F,Middle School,Human Sciences,No,10000000,100000,Yes,No,Maybe,Yes,Yes,No,No,Maybe,Yes,Yes,Yes,Maybe,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2014,F,Middle School,Biology-Health Sciences,Maybe,10000000,100000,No,No,No,Yes,Yes,No,No,Yes,Maybe,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2014,F,High School (11th Grade),Human Sciences,No,11000000,100000,Yes,No,Yes,No,Yes,Maybe,Yes,No,Yes,Yes,Maybe,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2014,F,Middle School,Biology-Health Sciences,Maybe,11100000,100000,,,,,,Yes,,,,,,,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2014,F,High School (10th Grade),Human Sciences,Maybe,11100000,100000,No,Maybe,No,No,No,Maybe,Maybe,Yes,Yes,Maybe,Yes,Maybe,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2014,F,Middle School,Exact Sciences,No,10000000,101000,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
2014,F,High School (12th Grade),,,1000000,1000000,,,Yes,,,,,,,,,,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
2014,F,Middle School,Biology-Health Sciences,Maybe,1000000,1000000,Maybe,No,Yes,Yes,Yes,Maybe,Maybe,No,Yes,Yes,Maybe,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
2014,F,High School (10th Grade),Biology-Health Sciences,Maybe,11110000,1100000,Maybe,Yes,Yes,Maybe,Yes,Maybe,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
2014,F,Middle School,Exact Sciences,No,10110100,1101000,No,Maybe,No,No,Yes,Maybe,No,No,Yes,Yes,Maybe,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No
2014,F,Middle School,Exact Sciences,Yes,11000000,1101000,Yes,Yes,Maybe,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Maybe,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No
2014,F,Middle School,Exact Sciences,Yes,11000000,1101000,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No
2014,F,Middle School,Biology-Health Sciences,Maybe,11110000,1101000,Maybe,No,Yes,Yes,Maybe,Maybe,No,Maybe,Yes,Maybe,Maybe,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No
2014,F,Middle School,Exact Sciences,Maybe,11110000,1110001,No,No,Maybe,No,Yes,Yes,Maybe,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes
2014,F,High School (11th Grade),Biology-Health Sciences,No,10100010,1110100,No,No,No,No,No,Yes,Maybe,Maybe,Yes,Yes,Maybe,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No
2014,F,Middle School,Biology-Health Sciences,Yes,1000100,1111000,Yes,Maybe,No,Maybe,No,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No
2014,F,High School (12th Grade),Biology-Health Sciences,No,10000000,1111000,,,,,,,,,,,,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No
2014,F,High School (11th Grade),Exact Sciences,Yes,10000100,1111000,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Maybe,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No
2014,F,Middle School,Biology-Health Sciences,Yes,11000100,1111000,Maybe,No,Yes,No,Yes,Yes,No,Maybe,Yes,No,Maybe,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No
2014,F,High School (10th Grade),Exact Sciences,Maybe,11100100,1111000,No,No,Yes,No,Yes,Maybe,Maybe,No,Yes,Yes,Maybe,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No
2014,F,Middle School,Biology-Health Sciences,No,11110100,1111000,No,Yes,No,No,Yes,Yes,No,Maybe,No,No,Yes,Maybe,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No
2014,F,High School (10th Grade),Exact Sciences,Yes,11010010,1111010,No,No,Maybe,Yes,Yes,Maybe,Maybe,Maybe,Yes,Yes,Maybe,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No
2014,F,Middle School,Exact Sciences,No,11100000,11111010,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No
2014,F,Middle School,Biology-Health Sciences,No,10000,100101000,No,Maybe,Maybe,No,Maybe,Yes,No,Maybe,Yes,Yes,Yes,Maybe,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No
2014,F,Middle School,Biology-Health Sciences,No,11100000,111111000,No,No,No,No,Yes,Yes,Maybe,Maybe,Yes,Maybe,Maybe,Maybe,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
2014,F,,Biology-Health Sciences,Yes,10000000,1000000000,Maybe,Yes,Yes,Yes,Maybe,Yes,Maybe,No,Maybe,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
2014,F,High School (10th Grade),Human Sciences,No,11100000,1000110000,No,Maybe,Maybe,Yes,Yes,No,Maybe,No,Yes,Maybe,Yes,Maybe,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No
2014,F,High School (10th Grade),Exact Sciences,Yes,11110100,1000111000,No,No,No,Maybe,Yes,Maybe,No,No,Maybe,No,Maybe,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No
2014,F,Middle School,Human Sciences,Maybe,11100000,1000111011,Maybe,Maybe,Maybe,No,Yes,Maybe,Maybe,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes
2014,F,Middle School,Biology-Health Sciences,No,10000000,1001001000,Maybe,Maybe,No,No,Yes,Maybe,Maybe,Maybe,Yes,Maybe,Maybe,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
