Year,Gender,Educational.Stage,Field.Of.Interest,Would.Enroll.In.CS,Q1,Q2,CS.Only.Teaches.To.Use.Software,CS.Uses.Little.Math,Most.CS.Students.Are.Male,CS.Requires.Knowledge.In.Computers,Higher.Education.Required.To.Work.In.CS,Family.Approves.CS.Major,CS.Has.Low.Employability,CS.Work.Has.Long.Hours,CS.Fosters.Creativity,CS.Is.Prestigious,CS.Provides.Good.Wages,CS.Enables.Interdisciplinary.Experiences,Uses.Computer.At.Home,Uses.Computer.At.Relatives.House,Uses.Computer.At.Friends.House,Uses.Computer.At.School,Uses.Computer.At.Work,Uses.Computer.At.Lan.House,Uses.Computer.At.Library,Uses.Computer.At.Digital.Inclusion.Center,Has.Used.Text.Editor,Has.Used.Image.Editor,Has.Used.Spreadsheet,Has.Used.Database,Has.Used.Internet,Has.Used.Social.Network,Has.Used.Email,Has.Used.Games,Has.Used.For.Creating.Web.Pages,Has.Used.For.Development,Has.Used.Other.Softwares
2014,F,Middle School,Human Sciences,No,10100.0,100000.0,No,Yes,No,No,Yes,Yes,Maybe,Maybe,Maybe,Yes,Maybe,,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2014,F,Middle School,Human Sciences,No,10000000.0,100000.0,Yes,No,Maybe,Yes,Yes,No,No,Maybe,Yes,Yes,Yes,Maybe,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2014,F,Middle School,Biology-Health Sciences,Maybe,10000000.0,100000.0,No,No,No,Yes,Yes,No,No,Yes,Maybe,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2014,F,High School (11th Grade),Human Sciences,No,11000000.0,100000.0,Yes,No,Yes,No,Yes,Maybe,Yes,No,Yes,Yes,Maybe,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2014,F,Middle School,Biology-Health Sciences,Maybe,11100000.0,100000.0,,,,,,Yes,,,,,,,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2014,F,High School (10th Grade),Human Sciences,Maybe,11100000.0,100000.0,No,Maybe,No,No,No,Maybe,Maybe,Yes,Yes,Maybe,Yes,Maybe,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2014,F,Middle School,Exact Sciences,No,10000000.0,101000.0,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
2014,F,High School (12th Grade),,,1000000.0,1000000.0,,,Yes,,,,,,,,,,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
2014,F,Middle School,Biology-Health Sciences,Maybe,1000000.0,1000000.0,Maybe,No,Yes,Yes,Yes,Maybe,Maybe,No,Yes,Yes,Maybe,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
2014,F,High School (10th Grade),Biology-Health Sciences,Maybe,11110000.0,1100000.0,Maybe,Yes,Yes,Maybe,Yes,Maybe,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
