Year,Computer.Science.Males,Computer.Science.Females,Computer.Engineering.Males ,Computer.Engineering.Females ,Licentiate.Males,Licentiate.Females
1987,15,7,,,,
1988,35,10,,,,
1989,45,12,,,,
1990,47,9,,,,
1991,42,9,,,,
1992,43,8,,,,
1993,39,10,,,,
1994,64,18,,,,
1995,65,14,,,,
1996,70,9,,,,
1997,66,6,,,54,7
1998,63,9,,,56,4
1999,62,5,,,54,10
2000,63,9,,,68,3
2001,62,5,,,65,7
2002,63,5,,,62,7
2003,71,13,,,68,4
2004,66,11,,,64,5
2005,64,9,,,60,8
2006,69,4,,,67,4
2007,60,12,,,63,4
2008,74,3,,,61,8
2009,76,10,36,4,78,6
2010,88,14,66,15,78,16
2011,80,12,71,8,89,9
2012,83,10,69,10,81,5
2013,89,6,73,10,73,12
2014,95,9,80,6,97,6
2015,98,14,82,4,87,9
2016,94,16,83,6,80,11
