"","support","confidence","lift","count","lhs","rhs"
"186",0.106024096385542,0.55,2.11342592592593,44,"{Has.Used.Text.Editor=Yes,
Family.Approves.CS.Major=No} ","{Would.Enroll.In.CS=No}"
"193",0.120481927710843,0.537634408602151,2.06590999601752,50,"{Has.Used.Internet=Yes,
Family.Approves.CS.Major=No} ","{Would.Enroll.In.CS=No}"
"185",0.108433734939759,0.535714285714286,2.05853174603175,45,"{Has.Used.Other.Softwares=No,
Family.Approves.CS.Major=No} ","{Would.Enroll.In.CS=No}"
"184",0.101204819277108,0.531645569620253,2.04289732770745,42,"{Has.Used.Games=Yes,
Family.Approves.CS.Major=No} ","{Would.Enroll.In.CS=No}"
"187",0.106024096385542,0.530120481927711,2.03703703703704,44,"{Has.Used.Email=Yes,
Family.Approves.CS.Major=No} ","{Would.Enroll.In.CS=No}"
"190",0.108433734939759,0.529411764705882,2.0343137254902,45,"{Uses.Computer.At.Work=No,
Family.Approves.CS.Major=No} ","{Would.Enroll.In.CS=No}"
"189",0.113253012048193,0.516483516483517,1.98463573463573,47,"{Has.Used.For.Creating.Web.Pages=No,
Family.Approves.CS.Major=No} ","{Would.Enroll.In.CS=No}"
"10",0.125301204819277,0.514851485148515,1.97836450311698,52,"{Family.Approves.CS.Major=No} ","{Would.Enroll.In.CS=No}"
"195",0.125301204819277,0.514851485148515,1.97836450311698,52,"{Year=2019,
Family.Approves.CS.Major=No} ","{Would.Enroll.In.CS=No}"
"194",0.11566265060241,0.51063829787234,1.96217494089834,48,"{Uses.Computer.At.Digital.Inclusion.Center=No,
Family.Approves.CS.Major=No} ","{Would.Enroll.In.CS=No}"
"192",0.118072289156627,0.510416666666667,1.96132330246914,49,"{Has.Used.Social.Network=Yes,
Family.Approves.CS.Major=No} ","{Would.Enroll.In.CS=No}"
"183",0.101204819277108,0.506024096385542,1.94444444444444,42,"{Uses.Computer.At.Lan.House=No,
Family.Approves.CS.Major=No} ","{Would.Enroll.In.CS=No}"
"188",0.103614457831325,0.5,1.9212962962963,43,"{Uses.Computer.At.Library=No,
Family.Approves.CS.Major=No} ","{Would.Enroll.In.CS=No}"
"191",0.108433734939759,0.5,1.9212962962963,45,"{Has.Used.For.Development=No,
Family.Approves.CS.Major=No} ","{Would.Enroll.In.CS=No}"
"612",0.101204819277108,0.442105263157895,1.58166969147005,42,"{Family.Approves.CS.Major=Yes,
CS.Enables.Interdisciplinary.Experiences=Yes} ","{Would.Enroll.In.CS=Yes}"
"613",0.103614457831325,0.438775510204082,1.56975721323012,43,"{Family.Approves.CS.Major=Yes,
CS.Fosters.Creativity=Yes} ","{Would.Enroll.In.CS=Yes}"
"614",0.108433734939759,0.432692307692308,1.54799403183024,45,"{Uses.Computer.At.Library=No,
Family.Approves.CS.Major=Yes} ","{Would.Enroll.In.CS=Yes}"
"616",0.110843373493976,0.429906542056075,1.53802771511441,46,"{Uses.Computer.At.Work=No,
Family.Approves.CS.Major=Yes} ","{Would.Enroll.In.CS=Yes}"
"734",0.120481927710843,0.427350427350427,1.52888299440024,50,"{Uses.Computer.At.Relatives.House=Yes,
Higher.Education.Required.To.Work.In.CS=Yes} ","{Would.Enroll.In.CS=Yes}"
"618",0.113253012048193,0.427272727272727,1.52860501567398,47,"{Has.Used.Internet=Yes,
Family.Approves.CS.Major=Yes} ","{Would.Enroll.In.CS=Yes}"
"714",0.106024096385542,0.427184466019417,1.52828925343154,44,"{Has.Used.Image.Editor=Yes,
Higher.Education.Required.To.Work.In.CS=Yes} ","{Would.Enroll.In.CS=Yes}"
"619",0.11566265060241,0.424778761061947,1.51968263655783,48,"{Uses.Computer.At.Digital.Inclusion.Center=No,
Family.Approves.CS.Major=Yes} ","{Would.Enroll.In.CS=Yes}"
"279",0.113253012048193,0.394957983193277,1.5176626206038,47,"{Uses.Computer.At.Relatives.House=No,
CS.Uses.Little.Math=No} ","{Would.Enroll.In.CS=No}"
"599",0.101204819277108,0.415841584158416,1.48770911573916,42,"{Uses.Computer.At.Lan.House=Yes,
Uses.Computer.At.Digital.Inclusion.Center=No} ","{Would.Enroll.In.CS=Yes}"
"53",0.118072289156627,0.415254237288136,1.48560783167738,49,"{Family.Approves.CS.Major=Yes} ","{Would.Enroll.In.CS=Yes}"
"620",0.118072289156627,0.415254237288136,1.48560783167738,49,"{Year=2019,
Family.Approves.CS.Major=Yes} ","{Would.Enroll.In.CS=Yes}"
"597",0.101204819277108,0.411764705882353,1.47312373225152,42,"{Uses.Computer.At.Lan.House=Yes,
Uses.Computer.At.Library=No} ","{Would.Enroll.In.CS=Yes}"
"615",0.101204819277108,0.407766990291262,1.45882156009374,42,"{Has.Used.For.Creating.Web.Pages=No,
Family.Approves.CS.Major=Yes} ","{Would.Enroll.In.CS=Yes}"
"733",0.106024096385542,0.407407407407407,1.45753512132822,44,"{Uses.Computer.At.Relatives.House=Yes,
CS.Is.Prestigious=Yes} ","{Would.Enroll.In.CS=Yes}"
"50",0.108433734939759,0.405405405405405,1.45037278657968,45,"{Uses.Computer.At.Lan.House=Yes} ","{Would.Enroll.In.CS=Yes}"
"600",0.108433734939759,0.405405405405405,1.45037278657968,45,"{Year=2019,
Uses.Computer.At.Lan.House=Yes} ","{Would.Enroll.In.CS=Yes}"
"598",0.103614457831325,0.401869158878505,1.43772155978086,43,"{Uses.Computer.At.Lan.House=Yes,
Has.Used.Internet=Yes} ","{Would.Enroll.In.CS=Yes}"
"617",0.103614457831325,0.401869158878505,1.43772155978086,43,"{Has.Used.Social.Network=Yes,
Family.Approves.CS.Major=Yes} ","{Would.Enroll.In.CS=Yes}"
"804",0.118072289156627,0.392,1.40241379310345,49,"{Higher.Education.Required.To.Work.In.CS=Yes,
CS.Is.Prestigious=Yes} ","{Would.Enroll.In.CS=Yes}"
"624",0.108433734939759,0.391304347826087,1.39992503748126,45,"{Uses.Computer.At.Friends.House=Yes,
Uses.Computer.At.School=No} ","{Would.Enroll.In.CS=Yes}"
"283",0.132530120481928,0.357142857142857,1.3723544973545,55,"{Uses.Computer.At.Relatives.House=No,
CS.Only.Teaches.To.Use.Software=No} ","{Would.Enroll.In.CS=No}"
"290",0.144578313253012,0.357142857142857,1.3723544973545,60,"{Uses.Computer.At.Home=Yes,
Uses.Computer.At.Relatives.House=No} ","{Would.Enroll.In.CS=No}"
"1340",0.110843373493976,0.63013698630137,1.3691458079323,46,"{CS.Has.Low.Employability=No,
CS.Provides.Good.Wages=Maybe} ","{Would.Enroll.In.CS=Maybe}"
"282",0.146987951807229,0.352601156069364,1.35490259045172,61,"{Uses.Computer.At.Relatives.House=No,
Uses.Computer.At.Lan.House=No} ","{Would.Enroll.In.CS=No}"
"739",0.137349397590361,0.375,1.34159482758621,57,"{Uses.Computer.At.Relatives.House=Yes,
Uses.Computer.At.School=No} ","{Would.Enroll.In.CS=Yes}"
"630",0.11566265060241,0.369230769230769,1.3209549071618,48,"{Uses.Computer.At.Friends.House=Yes,
Uses.Computer.At.Library=No} ","{Would.Enroll.In.CS=Yes}"
"165",0.120481927710843,0.602409638554217,1.30890052356021,50,"{Has.Used.For.Development=No,
CS.Requires.Knowledge.In.Computers=Maybe} ","{Would.Enroll.In.CS=Maybe}"
"333",0.118072289156627,0.340277777777778,1.30754886831276,49,"{Educational.Stage=High School (10th Grade),
CS.Uses.Little.Math=No} ","{Would.Enroll.In.CS=No}"
"281",0.137349397590361,0.339285714285714,1.30373677248677,57,"{Uses.Computer.At.Relatives.House=No,
Uses.Computer.At.Friends.House=No} ","{Would.Enroll.In.CS=No}"
"336",0.137349397590361,0.339285714285714,1.30373677248677,57,"{Uses.Computer.At.Lan.House=No,
CS.Uses.Little.Math=No} ","{Would.Enroll.In.CS=No}"
"661",0.134939759036145,0.363636363636364,1.30094043887147,56,"{Uses.Computer.At.Library=No,
CS.Provides.Good.Wages=Yes} ","{Would.Enroll.In.CS=Yes}"
